category,word,definition,image
Foundational Concepts,Aberration,"A departure from what is normal, usual, or expected, typically one that is unwelcome.",https://images.pexels.com/photos/281260/pexels-photo-281260.jpeg
Foundational Concepts,Anomaly,"Something that deviates from what is standard, normal, or expected.",https://images.pexels.com/photos/326424/pexels-photo-326424.jpeg
Foundational Concepts,Audacious,Showing a willingness to take surprisingly bold risks.,https://images.pexels.com/photos/1156684/pexels-photo-1156684.jpeg
Foundational Concepts,Banal,"So lacking in originality as to be obvious and boring.",https://images.pexels.com/photos/7130560/pexels-photo-7130560.jpeg
Foundational Concepts,Capricious,Given to sudden and unaccountable changes of mood or behavior.,https://images.pexels.com/photos/1102915/pexels-photo-1102915.jpeg
Foundational Concepts,Desiccate,"Remove the moisture from (something); cause to become completely dry.",https://images.pexels.com/photos/159958/pexels-photo-159958.jpeg
Foundational Concepts,Ephemeral,Lasting for a very short time.,https://images.pexels.com/photos/5766/art-leaf-nature-forest.jpg
Foundational Concepts,Fervid,"Intensely enthusiastic or passionate, especially to an excessive degree.",https://images.pexels.com/photos/2608517/pexels-photo-2608517.jpeg
Foundational Concepts,Gullible,"Easily persuaded to believe something; credulous.",https://images.pexels.com/photos/935949/pexels-photo-935949.jpeg
Foundational Concepts,Homogeneous,"Of the same kind; alike.",https://images.pexels.com/photos/531880/pexels-photo-531880.jpeg
Foundational Concepts,Laconic,"(of a person, speech, or style of writing) using very few words.",https://images.pexels.com/photos/4145190/pexels-photo-4145190.jpeg
Foundational Concepts,Laudable,"(of an action, idea, or goal) deserving praise and commendation.",https://images.pexels.com/photos/668298/pexels-photo-668298.jpeg
Foundational Concepts,Loquacious,"Tending to talk a great deal; talkative.",https://images.pexels.com/photos/1516680/pexels-photo-1516680.jpeg
Foundational Concepts,Mitigate,"Make less severe, serious, or painful.",https://images.pexels.com/photos/4195342/pexels-photo-4195342.jpeg
Foundational Concepts,Pedant,A person who is excessively concerned with minor details and rules or with displaying academic learning.,https://images.pexels.com/photos/298217/pexels-photo-298217.jpeg
Foundational Concepts,Pragmatic,Dealing with things sensibly and realistically in a way that is based on practical rather than theoretical considerations.,https://images.pexels.com/photos/3184418/pexels-photo-3184418.jpeg
Foundational Concepts,Propriety,The state or quality of conforming to conventionally accepted standards of behavior or morals.,https://images.pexels.com/photos/1036622/pexels-photo-1036622.jpeg
Foundational Concepts,Vacillate,"Alternate or waver between different opinions or actions; be indecisive.",https://images.pexels.com/photos/5699475/pexels-photo-5699475.jpeg
Foundational Concepts,Volatile,"Liable to change rapidly and unpredictably, especially for the worse.",https://images.pexels.com/photos/1167021/pexels-photo-1167021.jpeg
Foundational Concepts,Zeal,Great energy or enthusiasm in pursuit of a cause or an objective.,https://images.pexels.com/photos/2128249/pexels-photo-2128249.jpeg
Communication & Language,Eloquent,Fluent or persuasive in speaking or writing.,https://images.pexels.com/photos/3184431/pexels-photo-3184431.jpeg
Communication & Language,Equivocal,"Open to more than one interpretation; ambiguous.",https://images.pexels.com/photos/5439427/pexels-photo-5439427.jpeg
Communication & Language,Lucid,"Expressed clearly; easy to understand.",https://images.pexels.com/photos/1226398/pexels-photo-1226398.jpeg
Communication & Language,Opaque,"Not able to be seen through; not transparent.",https://images.pexels.com/photos/2775196/pexels-photo-2775196.jpeg
